vehicle_id,lane_number,frame,timestamp_s
3,1,14,0.467
9,3,57,1.900
2,2,62,2.067
17,1,62,2.067
6,1,101,3.367
8,1,150,5.000
31,1,196,6.533
25,1,219,7.300
27,1,249,8.300
28,1,274,9.133
53,2,281,9.367
42,2,283,9.433
33,1,287,9.567
50,1,287,9.567
54,2,337,11.233
40,1,339,11.300
43,1,362,12.067
61,1,377,12.567
63,2,385,12.833
51,1,411,13.700
70,2,436,14.533
55,1,459,15.300
77,1,536,17.867
75,1,597,19.900
84,1,599,19.967
93,1,642,21.400
96,1,667,22.233
73,2,682,22.733
89,1,736,24.533
98,2,742,24.733
112,1,801,26.700
109,1,807,26.900
99,1,817,27.233
122,3,856,28.533
119,1,871,29.033
120,2,914,30.467
127,2,914,30.467
124,1,951,31.700
137,3,995,33.167
113,1,1052,35.067
141,3,1054,35.133
128,1,1115,37.167
149,1,1116,37.200
150,1,1146,38.200
133,2,1189,39.633
134,1,1200,40.000
123,1,1206,40.200
160,3,1208,40.267
162,1,1274,42.467
142,1,1289,42.967
158,1,1350,45.000
164,1,1374,45.800
172,3,1389,46.300
165,1,1439,47.967
191,3,1465,48.833
169,1,1466,48.867
200,1,1501,50.033
168,1,1509,50.300
181,1,1544,51.467
205,3,1544,51.467
171,1,1591,53.033
211,3,1596,53.200
209,1,1607,53.567
202,1,1667,55.567
215,1,1693,56.433
167,2,1697,56.567
210,1,1717,57.233
216,1,1764,58.800
132,2,1765,58.833
232,2,1771,59.033
